R1,R2,R3,ML,AP
3.86,3.12,5.25,4.45,4.9
117.16,73.99,102.07,82.68,98.17
1.16,0.88,1.22,3.43,8.51
124.72,88.83,120.49,36.71,44.45
85.62,34.16,44.38,74.28,96.32
6.24,8.27,7.17,24.17,31.03
155.92,83.74,117.86,28.15,46.3
56.98,29.4,37.52,14.26,23.9
57.06,28.48,38.36,7.41,15.09
32.52,31.29,30.6,74.56,73.68
98.83,38.72,52.58,44.51,66.78
3.61,3.38,5.81,7.82,10.35
48.68,39.2,60.07,66.19,59.29
120.95,62.89,65.03,38.6,87.92
62.42,52.1,77.08,51.1,64.66
10.95,7.99,15.64,10.62,20.96
4.63,4.08,5.89,3.66,13.84
60.01,57.23,76.07,32.74,59.92
109.9,63.88,74.68,54.31,51.71
9.1,10.51,3.95,16.23,24.61
106.81,58.38,77.29,63.48,62.19
60.77,33.73,51.12,51.01,43.62
71.43,51.63,63.32,62.77,69.85
47.18,25.43,27.54,37.23,30.73
142.84,77.39,98.51,35.98,49.96
