MM5,MM3,DM10,DM100,DM500,DM1000
1.57,1.29,1.05,0.66,1.1,2.11
50.24,41.63,55.54,35.87,41.84,98.17
3.14,7.13,0.62,0.28,0.66,0.53
29.63,47.39,38.08,24.66,35.59,92.35
74.37,50.05,71.81,48.26,46.74,100.19
21.23,30.41,36.95,24.74,36.24,88.57
60.84,31.6,30.45,20.21,8.62,9.95
51.46,63.59,9.98,4.32,2.92,3.28
26.54,24.43,10.4,8.9,2.78,3.47
25.69,35.05,4.68,2.77,2.98,9.27
17.4,3.44,11.34,4.53,4.68,11.38
0.63,0.35,0.32,0.48,0.45,0.5
35.78,38.72,76.8,52.29,66.37,158.72
59.83,10.98,77.82,51.36,45.66,92.96
22.94,20.88,75.34,50.89,66.07,156.91
11.12,5.16,12.99,5.1,6.81,17.64
0.85,1.45,0.49,0.22,0.57,0.81
56.47,27.82,105.15,63.69,80.4,170.55
16.15,19.98,1.18,1.58,1.08,1.58
48.84,75.51,3.77,2.86,1.45,2.18
24.69,10.02,22.01,11.34,10.39,20.7
44.64,9.99,39.67,22.21,15.79,24.93
57.03,47.16,52.3,34.77,36.7,76.23
48.95,0.62,40.11,26,10.94,10.94
17.61,18.66,35.41,24.73,32.01,74.67
